X,Y,ID,SERIE,SITIO,AZIMUTE,SCN,VIAPRINC,BAIRRO,SITIO1,SERIE1,STATUS,FINALIDADE,ENDERECO,BENEFICIAD,DESCRTIPOL,DATAATIVAC,DATADESATI,FISCALIZAC,TOTALFXS,TEMDISPLAY,TEMCONTAGE,INFVELOCID,INFAVANCO,INFPARADAF,INFCONVERS,INFRETORNO,INFFXEXCLU,INFCIRCCAM,INFCAPACET,INFCINTOSE,KML_NAME,DESCRIO,DESCRIO2,MULTIPLE_F
-38.61562,-3.818768,187,130718.1214,01385029,40,,AV GENERAL OSORIO DE PAIVA,CANINDEZINHO,01385029,130718.1214,Ativo,Fiscalizao,"Av. Gal. Osrio de Paiva, 7613  [S-N]",Indefinido,Travessia de pedestres,20130919.000000,,Misto,3,N,S,S,S,S,N,N,N,N,N,N,01385029 - 130718.1214,"<b>01385029 - 130718.1214</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>19/09/2013<br><b>Local:</b> Av. Gal. Osrio de Paiva, 7613  - Indefinido<br>Travessia de pedestres<br>","<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade; Parada; Avano;",01385029|130718.1214
-38.615749,-3.818635,186,130718.1214,01385028,230,,AV GENERAL OSORIO DE PAIVA,SIQUEIRA,01385028,130718.1214,Ativo,Fiscalizao,"Av. Gal. Osrio de Paiva, 7600  [N-S]",Indefinido,Travessia de pedestres,20130919.000000,,Misto,3,N,S,S,S,S,N,N,N,N,N,N,01385028 - 130718.1214,"<b>01385028 - 130718.1214</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>19/09/2013<br><b>Local:</b> Av. Gal. Osrio de Paiva, 7600  - Indefinido<br>Travessia de pedestres<br>","<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade; Parada; Avano;",01385028|130718.1214
-38.604919,-3.80756,149,130420.1176,01385180,230,,AV GENERAL OSORIO DE PAIVA,SIQUEIRA,01385180,130420.1176,Ativo,Fiscalizao,"Av. General Osrio de Paiva, 5841 - Oposto  [S-N]",Indefinido,Travessia de pedestres,20130521.000000,,Misto,3,N,S,S,S,S,N,N,N,N,N,N,01385180 - 130420.1176,"<b>01385180 - 130420.1176</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>21/05/2013<br><b>Local:</b> Av. General Osrio de Paiva, 5841 - Oposto  - Indefinido<br>Travessia de pedestres<br>","<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade; Parada; Avano;",01385180|130420.1176
-38.604789,-3.807692,148,130420.1176,01385179,45,,AV GENERAL OSORIO DE PAIVA,CANINDEZINHO,01385179,130420.1176,Ativo,Fiscalizao,"Av. General Osrio de Paiva, 5841  [N-S]",Indefinido,Travessia de pedestres,20130521.000000,,Misto,3,N,S,S,S,S,N,N,N,N,N,N,01385179 - 130420.1176,"<b>01385179 - 130420.1176</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>21/05/2013<br><b>Local:</b> Av. General Osrio de Paiva, 5841  - Indefinido<br>Travessia de pedestres<br>","<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade; Parada; Avano;",01385179|130420.1176
-38.585777,-3.804099,87,ATSMS00639,AT059,125,00492:d,RUA WALDIR DIOGO,NOVO MONDUBIM,AT059,ATSMS00639,Ativo,Fiscalizao,"Av. Waldir Diogo, 850  [O-L]",Indefinido,Meio de quadra,20130508.000000,,Metrolgico,2,N,S,S,N,N,N,N,N,N,N,N,AT059 - ATSMS00639,"<b>AT059 - ATSMS00639</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>08/05/2013<br><b>Local:</b> Av. Waldir Diogo, 850  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 2<br><b> Infraes: </b>Velocidade;",AT059|ATSMS00639
-38.574913,-3.811744,159,130311.1159,01385032,105,00199:d,RUA WENEFRIDO MELO,MONDUBIM,01385032,130311.1159,Inativo,Fiscalizao,R. Wenefrido Melo x Av. Godofredo Maciel  [O-L],Indefinido,Cruzamento,20130605.000000,20140701.000000,Misto,3,N,S,S,S,S,S,N,N,N,N,N,01385032 - 130311.1159,<b>01385032 - 130311.1159</b><br><b>Inativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>05/06/2013<br><b>Local:</b> R. Wenefrido Melo x Av. Godofredo Maciel  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade; Parada; Avano; Converso;",01385032|130311.1159
-38.57474,-3.811549,157,130021.1132,01385030,200,00199:a,AV GODOFREDO MACIEL,MONDUBIM,01385030,130021.1132,Ativo,Fiscalizao,Av. Godofredo Maciel x R. Wenefrido Melo  [N-S],Indefinido,Cruzamento,20130605.000000,,Misto,4,N,S,S,S,S,S,N,N,N,N,N,01385030 - 130021.1132,<b>01385030 - 130021.1132</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>05/06/2013<br><b>Local:</b> Av. Godofredo Maciel x R. Wenefrido Melo  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 4<br><b> Infraes: </b>Velocidade; Parada; Avano; Converso;",01385030|130021.1132
-38.574566,-3.811758,158,130327.1160,01385031,290,00199:b,AV PRESIDENTE COSTA E SILVA,MONDUBIM,01385031,130327.1160,Ativo,Fiscalizao,Av. Pres. Costa e Silva x Av. Godofredo Maciel  [L-O],Indefinido,Cruzamento,20130605.000000,,Misto,4,N,S,S,S,S,S,N,N,N,N,N,01385031 - 130327.1160,<b>01385031 - 130327.1160</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>05/06/2013<br><b>Local:</b> Av. Pres. Costa e Silva x Av. Godofredo Maciel  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 4<br><b> Infraes: </b>Velocidade; Parada; Avano; Converso;",01385031|130327.1160
-38.573806,-3.812123,336,N.E.,01385226,105,00350:h,AV PRESIDENTE COSTA E SILVA,MONDUBIM,01385226,130327.1160,Ativo,Fiscalizao,Av. Pres. Costa e Silva x Rua Cel. Tibrcio  [O-L],Indefinido,Cruzamento,20141111.000000,,Misto,2,N,S,S,S,S,S,N,N,N,N,N,01385226 - 130327.1160,<b>01385226 - 130327.1160</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>11/11/2014<br><b>Local:</b> Av. Pres. Costa e Silva x Rua Cel. Tibrcio  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 2<br><b> Infraes: </b>Velocidade; Parada; Avano; Converso;",01385226|N.E.
-38.568747,-3.815666,15,ATSMS00571,AT041,140,00350:f,AV PRESIDENTE COSTA E SILVA,MONDUBIM,AT041,ATSMS00571,Ativo,Fiscalizao,"Av. Presidente Costa e Silva, 56  [O-L]",Indefinido,Meio de quadra,20130312.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,AT041 - ATSMS00571,"<b>AT041 - ATSMS00571</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>12/03/2013<br><b>Local:</b> Av. Presidente Costa e Silva, 56  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",AT041|ATSMS00571
