sensor_id,sensor_code,x_longitude,y_latitude,SITIO,azimute
1,AT007,-38.544827,-3.715037,AT007,90
2,AT008,-38.583728,-3.756056,AT008,200
3,AT009,-38.540103,-3.71695,AT009,305
4,AT011,-38.586524,-3.788626,AT011,220
5,AT012,-38.585807,-3.788107,AT012,45
6,AT015,-38.566565,-3.785408,AT015,200
7,AT018,-38.587694,-3.800395,AT018,225
8,AT019,-38.589976,-3.767895,AT019,200
9,AT037,-38.568336,-3.724721,AT037,200
10,AT041,-38.568747,-3.815666,AT041,140
11,AT042,-38.586876,-3.793058,AT042,340
12,AT043,-38.580286,-3.784268,AT043,240
13,AT044,-38.580603,-3.784612,AT044,50
14,AT045,-38.594135,-3.796434,AT045,220
15,AT046,-38.593981,-3.796534,AT046,40
16,AT059,-38.585777,-3.804099,AT059,125
17,AT060,-38.588004,-3.775206,AT060,165
18,AT061,-38.59141,-3.703795,AT061,350
19,AT062,-38.585184,-3.800317,AT062,2
20,AT067,-38.585624,-3.700904,AT067,300
21,AT068,-38.586024,-3.700877,AT068,115
22,AT076,-38.573683,-3.808303,AT076,195
23,AT077,-38.568388,-3.792774,AT077,220
24,AT078,-38.568104,-3.792641,AT078,35
25,AT079,-38.585246,-3.741934,AT079,180
26,AT080,-38.585003,-3.741926,AT080,360
27,AT087,-38.560894,-3.75726,AT087,255
28,AT089,-38.573544,-3.808338,AT089,20
29,AT090,-38.591307,-3.757267,AT090,300
30,AT092,-38.5471,-3.737874,AT092,255
31,AT095,-38.544828,-3.715092,AT095,95
32,AT096,-38.540067,-3.71691,AT096,305
33,AT097,-38.585181,-3.741944,AT097,180
34,AT098,-38.585063,-3.741928,AT098,358
35,AT200,-38.562028,-3.747349,AT200,135
36,AT201,-38.561945,-3.747274,AT201,315
37,AT202,-38.56915,-3.731077,AT202,180
38,AT203,-38.569028,-3.731062,AT203,2
39,AT204,-38.472275,-3.788776,AT204,80
40,AT205,-38.470415,-3.788552,AT205,260
41,AT206,-38.529768,-3.763622,AT206,20
42,AT909,-38.547137,-3.720801,AT909,105
43,AT911,-38.539945,-3.730244,AT911,350
44,FS086,-38.532391,-3.817195,FS086,220
45,FS006,-38.533246,-3.828228,FS006,95
46,FS058,-38.49289,-3.760927,FS058,25
47,FS048,-38.525337,-3.746144,FS048,150
48,FS047,-38.524785,-3.746872,FS047,330
49,FS051,-38.50441,-3.758846,FS051,0
